article,head,head_type,type,tail,tail_type
articulo_92.txt,medidas urgentes para garantía de la igualdad de trato y de oportunidades entre mujeres y hombres en el empleo y la ocupación,concept,"Real Decreto-ley 6/2019, de 1 de marzo, de medidas urgentes para garantía de la igualdad de trato y de oportunidades entre mujeres y de oportunidades entre hombres en el empleo y la ocupación","Real Decreto-ley 6/2019, de 1 de marzo, de medidas urgentes para garantía de la igualdad de trato y de oportunidades entre mujeres y de oportunidades entre hombres en el empleo y la ocupación",concept
articulo_92.txt,medidas urgentes para garantía de la igualdad de trato y de oportunidades entre mujeres y hombres en el empleo y la ocupación,concept,"Real Decreto-ley 6/2019, de 1 de marzo, de 1 de marzo, de medidas urgentes para garantía de la igualdad de trato y de oportunidades entre mujeres y de oportunidades","Real Decreto-ley 6/2019, de 1 de marzo, de 1 de marzo, de medidas urgentes para garantía de la igualdad de trato y de oportunidades entre mujeres y de oportunidades entre hombres en el empleo y la ocupación",concept
articulo_92.txt,medidas urgentes para garantía de la igualdad de trato y de oportunidades entre mujeres y hombres en el empleo y la ocupación,concept,"Real Decreto-ley 6/2019, de 1 de marzo, de medidas urgentes para garantía de la igualdad de trato y de oportunidades entre mujeres y de oportunidades entre hombres en el empleo y la ocupación","Real Decreto-ley 6/2019, de 1 de marzo, de medidas urgentes para garantía de la igualdad de trato y de oportunidades entre mujeres y de oportunidades entre hombres en el empleo y la ocupación",concept
articulo_92.txt,medidas urgentes para garantía de la igualdad de trato y de oportunidades entre mujeres y hombres en el empleo y la ocupación,concept,part of,"Real Decreto-ley 6/2019, de 1 de marzo, de medidas urgentes para garantía de la igualdad de trato y de oportunidades entre mujeres y de oportunidades entre hombres en el empleo y la ocupación",concept
articulo_92.txt,Real Decreto-ley 6/2019,concept,publication date,6/2019,date
articulo_92.txt,Real Decreto-ley 6/2019,concept,publication date,6/2019,date
articulo_92.txt,madre biológica,concept,opposite of,progenitor,concept
articulo_92.txt,progenitor,concept,opposite of,madre biológica,concept
articulo_92.txt,guarda con fines de adopción o acogimiento,concept,different from,"adopción, guarda con fines de adopción o acogimiento",concept
articulo_92.txt,"adopción, guarda con fines de adopción o acogimiento",concept,different from,guarda con fines de adopción o acogimiento,concept
articulo_92.txt,2020,time,point in time,1 de enero de 2020,date
articulo_92.txt,2020,time,point in time,1 de enero de 2020,date
articulo_92.txt,2021,time,point in time,1 de enero de 2021,date
articulo_92.txt,periodos de suspensión,concept,opposite of,periodo de aplicación paulatina,concept
articulo_92.txt,periodo de aplicación paulatina,concept,opposite of,periodos de suspensión,concept
articulo_92.txt,madre biológica,concept,opposite of,progenitor,concept
articulo_92.txt,progenitor,concept,opposite of,madre biológica,concept
articulo_92.txt,reincorporación de la madre al trabajo,concept,subclass of,incapacidad temporal,concept
articulo_92.txt,contrato de trabajo,concept,part of,régimen transitorio,concept
articulo_92.txt,jornada completa,concept,opposite of,tiempo parcial,concept
articulo_92.txt,tiempo parcial,concept,opposite of,jornada completa,concept
articulo_92.txt,Disposición final,concept,part of,Título competencial,concept
articulo_92.txt,149.1.7.a,concept,part of,Constitución Española,media
articulo_92.txt,Disposición final segunda,concept,part of,Desarrollo reglamentario,concept
articulo_92.txt,ley,concept,legislated by,Gobierno,concept
articulo_92.txt,organizaciones sindicales,concept,subclass of,asociaciones empresariales,concept
articulo_92.txt,despido,concept,instance of,contingencia,concept
articulo_92.txt,Incapacidad Temporal,concept,subclass of,prestación económica,concept
articulo_92.txt,Ministerio,concept,subclass of,Organismo público,concept
articulo_45.txt,Causas y efectos de la suspensión,concept,facet of,suspensión,concept
articulo_45.txt,contrato de trabajo,concept,subclass of,contrato de trabajo,concept
articulo_45.txt,Mutuo acuerdo,concept,subclass of,acuerdo,concept
articulo_45.txt,contrato,concept,has quality,consignadas,concept
articulo_45.txt,Incapacidad temporal,concept,subclass of,trabajadores,concept
articulo_45.txt,Código Civil,concept,subclass of,leyes civiles,concept
articulo_45.txt,Riesgo durante el embarazo,concept,subclass of,riesgo durante la lactancia natural,concept
articulo_45.txt,Ejercicio de cargo público representativo,concept,subclass of,Ejercicio de cargo público,concept
articulo_45.txt,Privación de libertad,concept,subclass of,sentencia,concept
articulo_45.txt,sueldo,concept,part of,empleo,concept
articulo_45.txt,Fuerza mayor temporal,concept,subclass of,Fuerza mayor,concept
articulo_45.txt,económicas,concept,studies,producción,concept
articulo_45.txt,Excedencia forzosa,concept,subclass of,Excedencia,concept
articulo_45.txt,huelga,concept,subclass of,derecho,concept
articulo_45.txt,Cierre legal,concept,part of,empresa,concept
articulo_45.txt,abandonar su puesto de trabajo,concept,has cause,violencia de género,concept
articulo_45.txt,remunerar el trabajo,concept,subclass of,obligaciones,concept
articulo_9.txt,Validez del contrato,concept,facet of,contrato,concept
articulo_9.txt,contrato de trabajo,concept,subclass of,contrato de trabajo,concept
articulo_9.txt,contraprestaciones,concept,part of,contrato,concept
articulo_9.txt,contrato válido,concept,subclass of,contrato,concept
articulo_9.txt,igual o de igual valor,concept,subclass of,retribución,concept
articulo_9.txt,Modalidades del contrato de trabajo,concept,part of,contrato de trabajo,concept
articulo_56.txt,Despido improcedente,concept,subclass of,Despido,concept
articulo_56.txt,contrato de trabajo,concept,has cause,cese efectivo en el trabajo,concept
articulo_56.txt,improcedencia,concept,subclass of,sentencia,concept
articulo_56.txt,indemnización,concept,opposite of,readmisión,concept
articulo_56.txt,indemnización,concept,subclass of,salario,concept
articulo_56.txt,improcedencia del despido,concept,instance of,sentencia,concept
articulo_56.txt,Seguridad Social,concept,country,Estado,loc
articulo_56.txt,Sección 5.a Procedimiento concursal,media,part of,Procedimiento concursal,concept
articulo_14.txt,Periodo de prueba,concept,subclass of,prueba,concept
articulo_14.txt,periodo de prueba,concept,part of,convenios colectivos,concept
articulo_14.txt,convenio colectivo,concept,subclass of,contratos temporales,concept
articulo_14.txt,trabajador,concept,subclass of,empresario,concept
articulo_14.txt,periodo de prueba,concept,part of,contratación,concept
articulo_14.txt,plantilla,concept,subclass of,puesto de trabajo,concept
articulo_14.txt,maternidad,concept,different from,maternidad,concept
articulo_14.txt,maternidad,concept,different from,maternidad,concept
articulo_14.txt,prueba,concept,part of,contrato,concept
articulo_14.txt,riesgo durante el embarazo,concept,different from,riesgo durante la lactancia,concept
articulo_14.txt,riesgo durante la lactancia,concept,different from,riesgo durante el embarazo,concept
articulo_31.txt,Gratificaciones extraordinarias,concept,subclass of,Gratificaciones,concept
articulo_31.txt,gratificaciones extraordinarias,concept,part of,convenio colectivo,concept
articulo_31.txt,gratificaciones extraordinarias,concept,part of,convenio colectivo,concept
articulo_57.txt,Procedimiento concursal,concept,part of,concursal,concept
articulo_57.txt,sucesión de empresa,concept,subclass of,contratos de trabajo,concept
articulo_57.txt,CAPÍTULO IV,media,follows,CAPÍTULO IV,media
articulo_57.txt,Faltas y sanciones de los trabajadores,concept,subclass of,sanciones,concept
articulo_28.txt,Igualdad de remuneración por razón de sexo,concept,subclass of,remuneración,concept
articulo_28.txt,salarial,concept,subclass of,retribución,concept
articulo_28.txt,tareas,concept,subclass of,funciones,concept
articulo_28.txt,complementos salariales,concept,subclass of,salario,concept
articulo_28.txt,representación legal de los trabajadores en la empresa,concept,part of,"derecho a acceder, a través de la representación legal de los trabajadores en la empresa",concept
articulo_28.txt,Registro salarial,concept,facet of,retribuciones,concept
articulo_61.txt,Participación,concept,facet of,Participación,concept
articulo_61.txt,participación,concept,subclass of,participación,concept
articulo_61.txt,Órganos de representación,concept,part of,Sección 1.a Órganos de representación,concept
articulo_2.txt,Relaciones laborales,concept,has quality,carácter especial,concept
articulo_2.txt,relaciones laborales,concept,has quality,carácter especial,concept
articulo_2.txt,alta dirección,concept,subclass of,personal,concept
articulo_2.txt,hogar familiar,concept,subclass of,hogar,concept
articulo_2.txt,penados,concept,facet of,instituciones penitenciarias,concept
articulo_2.txt,d) La de los deportistas profesionales,concept,sport,deportistas,concept
articulo_2.txt,artistas,concept,field of this occupation,espectáculos públicos,concept
articulo_2.txt,ventura,concept,subclass of,riesgo,concept
articulo_2.txt,centros especiales de empleo,concept,facet of,discapacidad,concept
articulo_2.txt,Derogada,concept,opposite of,Derogada,concept
articulo_2.txt,medidas de internamiento,concept,subclass of,responsabilidad penal,concept
articulo_2.txt,especialistas,concept,field of this occupation,Ciencias de la Salud,concept
articulo_2.txt,despachos de abogados,concept,subclass of,abogado,concept
articulo_2.txt,relación laboral,concept,subclass of,trabajo,concept
articulo_2.txt,derechos básicos,concept,main regulatory text,Constitución,org
articulo_69.txt,Elección,concept,part of,Elección.,concept
articulo_69.txt,delegados de personal,concept,subclass of,sufragio personal,concept
articulo_69.txt,antigüedad,concept,different from,antigüedad en la empresa,concept
articulo_69.txt,antigüedad en la empresa,concept,different from,antigüedad en la empresa,concept
articulo_69.txt,electores,concept,subclass of,elegibles,concept
articulo_69.txt,comité de empresa,concept,subclass of,sindicatos,concept
articulo_72.txt,trabajos no fijos,concept,opposite of,trabajos fijos-discontinuos,concept
articulo_72.txt,trabajos fijos-discontinuos,concept,subclass of,contrato de duración determinada,concept
articulo_72.txt,representantes,concept,has quality,número,concept
articulo_72.txt,trabajadores fijos de plantilla,concept,subclass of,trabajadores,concept
articulo_72.txt,días trabajados,concept,different from,fracción,concept
articulo_72.txt,fracción,concept,different from,días trabajados,concept
articulo_63.txt,Comités de empresa,concept,subclass of,empresa,concept
articulo_63.txt,empresa,concept,subclass of,centro de trabajo,concept
articulo_63.txt,comité de empresa,concept,subclass of,empresa,concept
articulo_63.txt,comité intercentros,concept,subclass of,comités de centro,concept
articulo_63.txt,comité intercentros,concept,subclass of,sindicatos,concept
articulo_63.txt,intercentros,concept,subclass of,comités,media
articulo_58.txt,Faltas y sanciones de los trabajadores,concept,facet of,trabajadores,concept
articulo_58.txt,sanciones,concept,subclass of,sancionados,concept
articulo_58.txt,muy graves,concept,subclass of,graves,concept
articulo_58.txt,vacaciones,concept,subclass of,descanso,concept
articulo_58.txt,CAPÍTULO V,misc,follows,CAPÍTULO V,misc
articulo_58.txt,Plazos de prescripción,concept,subclass of,Plazo,concept
articulo_58.txt,Prescripción de acciones derivadas del contrato,concept,part of,contrato,concept
articulo_82.txt,Concepto y eficacia,concept,facet of,eficacia,concept
articulo_82.txt,acuerdo,concept,part of,negociación,concept
articulo_82.txt,convenios colectivos,concept,part of,paz laboral,concept
articulo_82.txt,convenios colectivos,concept,subclass of,ley,concept
articulo_82.txt,sector,concept,subclass of,empresa,concept
articulo_82.txt,sector,concept,subclass of,empresa,concept
articulo_82.txt,Jornada de trabajo,concept,subclass of,Jornada,concept
articulo_82.txt,tiempo de trabajo,concept,part of,Horario,concept
